Exp3 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 8s 12 0.26667 scrambled-260.jpg
1 8s 12.2667 0.26667 scrambled-191.jpg
1 8s 12.5333 0.26667 scrambled-481.jpg
1 8s 12.8 0.26667 scrambled-1029.jpg
1 8s 13.0667 0.26667 scrambled-996.jpg
1 8s 13.3333 0.26667 scrambled-355.jpg
1 8s 13.6 0.26667 scrambled-47.jpg
1 8s 13.8667 0.26667 scrambled-586.jpg
1 8s 14.1333 0.26667 scrambled-520.jpg
1 8s 14.4 0.26667 scrambled-512.jpg
1 8s 14.6667 0.26667 scrambled-262.jpg
1 8s 14.9333 0.26667 scrambled-201.jpg
1 8s 15.2 0.26667 scrambled-819.jpg
1 8s 15.4667 0.26667 scrambled-609.jpg
1 8s 15.7333 0.26667 scrambled-1261.jpg
1 8s 16 0.26667 scrambled-158.jpg
1 8s 16.2667 0.26667 scrambled-1039.jpg
1 8s 16.5333 0.26667 scrambled-1324.jpg
1 8s 16.8 0.26667 scrambled-12.jpg
1 8s 17.0667 0.26667 scrambled-838.jpg
1 8s 17.3333 0.26667 scrambled-138.jpg
1 8s 17.6 0.26667 scrambled-880.jpg
1 8s 17.8667 0.26667 scrambled-867.jpg
1 8s 18.1333 0.26667 scrambled-99.jpg
1 8s 18.4 0.26667 scrambled-815.jpg
1 8s 18.6667 0.26667 scrambled-1202.jpg
1 8s 18.9333 0.26667 scrambled-951.jpg
1 8s 19.2 0.26667 scrambled-624.jpg
1 8s 19.4667 0.26667 scrambled-325.jpg
1 8s 19.7333 0.26667 scrambled-1256.jpg
2 2s 32 0.066667 scrambled-514.jpg
2 2s 32.0667 0.066667 scrambled-698.jpg
2 2s 32.1333 0.066667 scrambled-1382.jpg
2 2s 32.2 0.066667 scrambled-776.jpg
2 2s 32.2667 0.066667 scrambled-1390.jpg
2 2s 32.3333 0.066667 scrambled-1057.jpg
2 2s 32.4 0.066667 scrambled-668.jpg
2 2s 32.4667 0.066667 scrambled-1351.jpg
2 2s 32.5333 0.066667 scrambled-118.jpg
2 2s 32.6 0.066667 scrambled-157.jpg
2 2s 32.6667 0.066667 scrambled-800.jpg
2 2s 32.7333 0.066667 scrambled-436.jpg
2 2s 32.8 0.066667 scrambled-1267.jpg
2 2s 32.8667 0.066667 scrambled-781.jpg
2 2s 32.9333 0.066667 scrambled-1125.jpg
2 2s 33 0.066667 scrambled-743.jpg
2 2s 33.0667 0.066667 scrambled-453.jpg
