Exp2 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 8s 12 0.033333 scrambled-882.jpg
1 8s 12.2667 0.033333 scrambled-133.jpg
1 8s 12.5333 0.033333 scrambled-1250.jpg
1 8s 12.8 0.033333 scrambled-54.jpg
1 8s 13.0667 0.033333 scrambled-1062.jpg
1 8s 13.3333 0.033333 scrambled-642.jpg
1 8s 13.6 0.033333 scrambled-1038.jpg
1 8s 13.8667 0.033333 scrambled-1229.jpg
1 8s 14.1333 0.033333 scrambled-85.jpg
1 8s 14.4 0.033333 scrambled-1400.jpg
1 8s 14.6667 0.033333 scrambled-449.jpg
1 8s 14.9333 0.033333 scrambled-1435.jpg
1 8s 15.2 0.033333 scrambled-633.jpg
1 8s 15.4667 0.033333 scrambled-18.jpg
1 8s 15.7333 0.033333 scrambled-897.jpg
1 8s 16 0.033333 scrambled-836.jpg
1 8s 16.2667 0.033333 scrambled-440.jpg
1 8s 16.5333 0.033333 scrambled-1076.jpg
1 8s 16.8 0.033333 scrambled-177.jpg
1 8s 17.0667 0.033333 scrambled-852.jpg
1 8s 17.3333 0.033333 scrambled-34.jpg
1 8s 17.6 0.033333 scrambled-1409.jpg
1 8s 17.8667 0.033333 scrambled-118.jpg
1 8s 18.1333 0.033333 scrambled-130.jpg
1 8s 18.4 0.033333 scrambled-1101.jpg
1 8s 18.6667 0.033333 scrambled-424.jpg
1 8s 18.9333 0.033333 scrambled-286.jpg
1 8s 19.2 0.033333 scrambled-33.jpg
1 8s 19.4667 0.033333 scrambled-334.jpg
1 8s 19.7333 0.033333 scrambled-560.jpg
2 2s 32 0.033333 scrambled-1137.jpg
2 2s 32.0667 0.033333 scrambled-1316.jpg
2 2s 32.1333 0.033333 scrambled-477.jpg
2 2s 32.2 0.033333 scrambled-1186.jpg
2 2s 32.2667 0.033333 scrambled-199.jpg
2 2s 32.3333 0.033333 scrambled-232.jpg
2 2s 32.4 0.033333 scrambled-673.jpg
2 2s 32.4667 0.033333 scrambled-410.jpg
2 2s 32.5333 0.033333 scrambled-599.jpg
2 2s 32.6 0.033333 scrambled-73.jpg
2 2s 32.6667 0.033333 scrambled-994.jpg
2 2s 32.7333 0.033333 scrambled-1141.jpg
2 2s 32.8 0.033333 scrambled-975.jpg
2 2s 32.8667 0.033333 scrambled-225.jpg
2 2s 32.9333 0.033333 scrambled-48.jpg
2 2s 33 0.033333 scrambled-665.jpg
2 2s 33.0667 0.033333 scrambled-698.jpg
2 2s 33.1333 0.033333 scrambled-1432.jpg
2 2s 33.2 0.033333 scrambled-1233.jpg
2 2s 33.2667 0.033333 scrambled-722.jpg
2 2s 33.3333 0.033333 scrambled-773.jpg
2 2s 33.4 0.033333 scrambled-603.jpg
2 2s 33.4667 0.033333 scrambled-1342.jpg
2 2s 33.5333 0.033333 scrambled-210.jpg
2 2s 33.6 0.033333 scrambled-1113.jpg
2 2s 33.6667 0.033333 scrambled-563.jpg
2 2s 33.7333 0.033333 scrambled-993.jpg
2 2s 33.8 0.033333 scrambled-1149.jpg
2 2s 33.8667 0.033333 scrambled-161.jpg
2 2s 33.9333 0.033333 scrambled-188.jpg
3 4s 46 0.033333 scrambled-785.jpg
3 4s 46.1333 0.033333 scrambled-333.jpg
3 4s 46.2667 0.033333 scrambled-325.jpg
3 4s 46.4 0.033333 scrambled-343.jpg
3 4s 46.5333 0.033333 scrambled-243.jpg
3 4s 46.6667 0.033333 scrambled-708.jpg
3 4s 46.8 0.033333 scrambled-128.jpg
3 4s 46.9333 0.033333 scrambled-1107.jpg
3 4s 47.0667 0.033333 scrambled-39.jpg
3 4s 47.2 0.033333 scrambled-1103.jpg
3 4s 47.3333 0.033333 scrambled-10.jpg
3 4s 47.4667 0.033333 scrambled-703.jpg
3 4s 47.6 0.033333 scrambled-1347.jpg
3 4s 47.7333 0.033333 scrambled-879.jpg
3 4s 47.8667 0.033333 scrambled-391.jpg
3 4s 48 0.033333 scrambled-520.jpg
3 4s 48.1333 0.033333 scrambled-781.jpg
3 4s 48.2667 0.033333 scrambled-630.jpg
3 4s 48.4 0.033333 scrambled-1407.jpg
3 4s 48.5333 0.033333 scrambled-91.jpg
3 4s 48.6667 0.033333 scrambled-899.jpg
3 4s 48.8 0.033333 scrambled-721.jpg
3 4s 48.9333 0.033333 scrambled-1020.jpg
3 4s 49.0667 0.033333 scrambled-312.jpg
3 4s 49.2 0.033333 scrambled-1392.jpg
3 4s 49.3333 0.033333 scrambled-1226.jpg
3 4s 49.4667 0.033333 scrambled-1087.jpg
3 4s 49.6 0.033333 scrambled-948.jpg
3 4s 49.7333 0.033333 scrambled-1014.jpg
3 4s 49.8667 0.033333 scrambled-638.jpg
4 15s 75 0.033333 scrambled-323.jpg
4 15s 75.5 0.033333 scrambled-274.jpg
4 15s 76 0.033333 scrambled-483.jpg
4 15s 76.5 0.033333 scrambled-753.jpg
4 15s 77 0.033333 scrambled-1034.jpg
4 15s 77.5 0.033333 scrambled-678.jpg
4 15s 78 0.033333 scrambled-648.jpg
4 15s 78.5 0.033333 scrambled-1093.jpg
4 15s 79 0.033333 scrambled-441.jpg
4 15s 79.5 0.033333 scrambled-364.jpg
4 15s 80 0.033333 scrambled-710.jpg
4 15s 80.5 0.033333 scrambled-1162.jpg
4 15s 81 0.033333 scrambled-363.jpg
4 15s 81.5 0.033333 scrambled-401.jpg
4 15s 82 0.033333 scrambled-814.jpg
4 15s 82.5 0.033333 scrambled-920.jpg
4 15s 83 0.033333 scrambled-461.jpg
4 15s 83.5 0.033333 scrambled-675.jpg
4 15s 84 0.033333 scrambled-1278.jpg
4 15s 84.5 0.033333 scrambled-504.jpg
4 15s 85 0.033333 scrambled-1264.jpg
4 15s 85.5 0.033333 scrambled-117.jpg
4 15s 86 0.033333 scrambled-1431.jpg
4 15s 86.5 0.033333 scrambled-147.jpg
4 15s 87 0.033333 scrambled-1090.jpg
4 15s 87.5 0.033333 scrambled-80.jpg
4 15s 88 0.033333 scrambled-141.jpg
4 15s 88.5 0.033333 scrambled-29.jpg
4 15s 89 0.033333 scrambled-707.jpg
4 15s 89.5 0.033333 scrambled-573.jpg
5 30s 102 0.033333 scrambled-254.jpg
5 30s 103 0.033333 scrambled-419.jpg
5 30s 104 0.033333 scrambled-1218.jpg
5 30s 105 0.033333 scrambled-518.jpg
5 30s 106 0.033333 scrambled-916.jpg
5 30s 107 0.033333 scrambled-60.jpg
5 30s 108 0.033333 scrambled-191.jpg
5 30s 109 0.033333 scrambled-470.jpg
5 30s 110 0.033333 scrambled-1030.jpg
5 30s 111 0.033333 scrambled-490.jpg
5 30s 112 0.033333 scrambled-486.jpg
5 30s 113 0.033333 scrambled-935.jpg
5 30s 114 0.033333 scrambled-75.jpg
5 30s 115 0.033333 scrambled-687.jpg
5 30s 116 0.033333 scrambled-1194.jpg
5 30s 117 0.033333 scrambled-1270.jpg
5 30s 118 0.033333 scrambled-1319.jpg
5 30s 119 0.033333 scrambled-445.jpg
5 30s 120 0.033333 scrambled-412.jpg
5 30s 121 0.033333 scrambled-1084.jpg
5 30s 122 0.033333 scrambled-201.jpg
5 30s 123 0.033333 scrambled-1197.jpg
5 30s 124 0.033333 scrambled-82.jpg
5 30s 125 0.033333 scrambled-55.jpg
5 30s 126 0.033333 scrambled-846.jpg
5 30s 127 0.033333 scrambled-109.jpg
5 30s 128 0.033333 scrambled-1116.jpg
5 30s 129 0.033333 scrambled-467.jpg
5 30s 130 0.033333 scrambled-1440.jpg
5 30s 131 0.033333 scrambled-112.jpg
6 2s 144 0.033333 scrambled-1004.jpg
6 2s 144.0667 0.033333 scrambled-1052.jpg
6 2s 144.1333 0.033333 scrambled-1366.jpg
6 2s 144.2 0.033333 scrambled-464.jpg
6 2s 144.2667 0.033333 scrambled-362.jpg
6 2s 144.3333 0.033333 scrambled-1119.jpg
6 2s 144.4 0.033333 scrambled-162.jpg
6 2s 144.4667 0.033333 scrambled-1024.jpg
6 2s 144.5333 0.033333 scrambled-1335.jpg
6 2s 144.6 0.033333 scrambled-744.jpg
6 2s 144.6667 0.033333 scrambled-833.jpg
6 2s 144.7333 0.033333 scrambled-1232.jpg
6 2s 144.8 0.033333 scrambled-1069.jpg
6 2s 144.8667 0.033333 scrambled-796.jpg
6 2s 144.9333 0.033333 scrambled-1029.jpg
6 2s 145 0.033333 scrambled-891.jpg
6 2s 145.0667 0.033333 scrambled-275.jpg
6 2s 145.1333 0.033333 scrambled-280.jpg
