Exp2 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 2s 12 0.033333 scrambled-452.jpg
1 2s 12.0667 0.033333 scrambled-113.jpg
1 2s 12.1333 0.033333 scrambled-203.jpg
1 2s 12.2 0.033333 scrambled-1100.jpg
1 2s 12.2667 0.033333 scrambled-1232.jpg
1 2s 12.3333 0.033333 scrambled-1186.jpg
1 2s 12.4 0.033333 scrambled-323.jpg
1 2s 12.4667 0.033333 scrambled-5.jpg
1 2s 12.5333 0.033333 scrambled-1177.jpg
1 2s 12.6 0.033333 scrambled-923.jpg
1 2s 12.6667 0.033333 scrambled-978.jpg
1 2s 12.7333 0.033333 scrambled-1377.jpg
1 2s 12.8 0.033333 scrambled-167.jpg
1 2s 12.8667 0.033333 scrambled-1363.jpg
1 2s 12.9333 0.033333 scrambled-795.jpg
1 2s 13 0.033333 scrambled-1293.jpg
1 2s 13.0667 0.033333 scrambled-1070.jpg
1 2s 13.1333 0.033333 scrambled-1095.jpg
1 2s 13.2 0.033333 scrambled-650.jpg
1 2s 13.2667 0.033333 scrambled-475.jpg
1 2s 13.3333 0.033333 scrambled-1403.jpg
1 2s 13.4 0.033333 scrambled-1318.jpg
1 2s 13.4667 0.033333 scrambled-690.jpg
1 2s 13.5333 0.033333 scrambled-1317.jpg
1 2s 13.6 0.033333 scrambled-284.jpg
1 2s 13.6667 0.033333 scrambled-1173.jpg
1 2s 13.7333 0.033333 scrambled-1223.jpg
1 2s 13.8 0.033333 scrambled-332.jpg
1 2s 13.8667 0.033333 scrambled-516.jpg
1 2s 13.9333 0.033333 scrambled-408.jpg
2 30s 26 0.033333 scrambled-1241.jpg
2 30s 27 0.033333 scrambled-748.jpg
2 30s 28 0.033333 scrambled-647.jpg
2 30s 29 0.033333 scrambled-383.jpg
2 30s 30 0.033333 scrambled-1379.jpg
2 30s 31 0.033333 scrambled-843.jpg
2 30s 32 0.033333 scrambled-230.jpg
2 30s 33 0.033333 scrambled-1196.jpg
2 30s 34 0.033333 scrambled-823.jpg
2 30s 35 0.033333 scrambled-155.jpg
2 30s 36 0.033333 scrambled-1214.jpg
2 30s 37 0.033333 scrambled-1038.jpg
2 30s 38 0.033333 scrambled-219.jpg
2 30s 39 0.033333 scrambled-1036.jpg
2 30s 40 0.033333 scrambled-62.jpg
2 30s 41 0.033333 scrambled-723.jpg
2 30s 42 0.033333 scrambled-1432.jpg
2 30s 43 0.033333 scrambled-910.jpg
2 30s 44 0.033333 scrambled-1098.jpg
2 30s 45 0.033333 scrambled-360.jpg
2 30s 46 0.033333 scrambled-568.jpg
2 30s 47 0.033333 scrambled-279.jpg
2 30s 48 0.033333 scrambled-455.jpg
2 30s 49 0.033333 scrambled-897.jpg
2 30s 50 0.033333 scrambled-1022.jpg
2 30s 51 0.033333 scrambled-269.jpg
2 30s 52 0.033333 scrambled-361.jpg
2 30s 53 0.033333 scrambled-119.jpg
2 30s 54 0.033333 scrambled-640.jpg
2 30s 55 0.033333 scrambled-465.jpg
3 4s 68 0.033333 scrambled-246.jpg
3 4s 68.1333 0.033333 scrambled-163.jpg
3 4s 68.2667 0.033333 scrambled-1313.jpg
3 4s 68.4 0.033333 scrambled-421.jpg
3 4s 68.5333 0.033333 scrambled-597.jpg
3 4s 68.6667 0.033333 scrambled-1190.jpg
3 4s 68.8 0.033333 scrambled-1270.jpg
3 4s 68.9333 0.033333 scrambled-54.jpg
3 4s 69.0667 0.033333 scrambled-607.jpg
3 4s 69.2 0.033333 scrambled-353.jpg
3 4s 69.3333 0.033333 scrambled-1239.jpg
3 4s 69.4667 0.033333 scrambled-1331.jpg
3 4s 69.6 0.033333 scrambled-983.jpg
3 4s 69.7333 0.033333 scrambled-846.jpg
3 4s 69.8667 0.033333 scrambled-678.jpg
3 4s 70 0.033333 scrambled-1107.jpg
3 4s 70.1333 0.033333 scrambled-99.jpg
3 4s 70.2667 0.033333 scrambled-709.jpg
3 4s 70.4 0.033333 scrambled-182.jpg
3 4s 70.5333 0.033333 scrambled-1314.jpg
3 4s 70.6667 0.033333 scrambled-354.jpg
3 4s 70.8 0.033333 scrambled-1233.jpg
3 4s 70.9333 0.033333 scrambled-569.jpg
3 4s 71.0667 0.033333 scrambled-473.jpg
3 4s 71.2 0.033333 scrambled-1243.jpg
3 4s 71.3333 0.033333 scrambled-734.jpg
3 4s 71.4667 0.033333 scrambled-174.jpg
3 4s 71.6 0.033333 scrambled-799.jpg
3 4s 71.7333 0.033333 scrambled-234.jpg
3 4s 71.8667 0.033333 scrambled-1048.jpg
4 15s 97 0.033333 scrambled-649.jpg
4 15s 97.5 0.033333 scrambled-406.jpg
4 15s 98 0.033333 scrambled-1139.jpg
4 15s 98.5 0.033333 scrambled-35.jpg
4 15s 99 0.033333 scrambled-683.jpg
4 15s 99.5 0.033333 scrambled-816.jpg
4 15s 100 0.033333 scrambled-1250.jpg
4 15s 100.5 0.033333 scrambled-207.jpg
4 15s 101 0.033333 scrambled-1087.jpg
4 15s 101.5 0.033333 scrambled-874.jpg
4 15s 102 0.033333 scrambled-381.jpg
4 15s 102.5 0.033333 scrambled-1000.jpg
4 15s 103 0.033333 scrambled-848.jpg
4 15s 103.5 0.033333 scrambled-253.jpg
4 15s 104 0.033333 scrambled-1282.jpg
4 15s 104.5 0.033333 scrambled-684.jpg
4 15s 105 0.033333 scrambled-226.jpg
4 15s 105.5 0.033333 scrambled-319.jpg
4 15s 106 0.033333 scrambled-1302.jpg
4 15s 106.5 0.033333 scrambled-728.jpg
4 15s 107 0.033333 scrambled-731.jpg
4 15s 107.5 0.033333 scrambled-1247.jpg
4 15s 108 0.033333 scrambled-1025.jpg
4 15s 108.5 0.033333 scrambled-378.jpg
4 15s 109 0.033333 scrambled-509.jpg
4 15s 109.5 0.033333 scrambled-1049.jpg
4 15s 110 0.033333 scrambled-1078.jpg
4 15s 110.5 0.033333 scrambled-1099.jpg
4 15s 111 0.033333 scrambled-141.jpg
4 15s 111.5 0.033333 scrambled-1207.jpg
5 8s 124 0.033333 scrambled-952.jpg
5 8s 124.2667 0.033333 scrambled-173.jpg
5 8s 124.5333 0.033333 scrambled-1372.jpg
5 8s 124.8 0.033333 scrambled-1.jpg
5 8s 125.0667 0.033333 scrambled-3.jpg
5 8s 125.3333 0.033333 scrambled-1315.jpg
5 8s 125.6 0.033333 scrambled-1150.jpg
5 8s 125.8667 0.033333 scrambled-875.jpg
5 8s 126.1333 0.033333 scrambled-1166.jpg
5 8s 126.4 0.033333 scrambled-1080.jpg
5 8s 126.6667 0.033333 scrambled-457.jpg
5 8s 126.9333 0.033333 scrambled-601.jpg
5 8s 127.2 0.033333 scrambled-1305.jpg
5 8s 127.4667 0.033333 scrambled-1162.jpg
5 8s 127.7333 0.033333 scrambled-265.jpg
5 8s 128 0.033333 scrambled-1017.jpg
5 8s 128.2667 0.033333 scrambled-587.jpg
5 8s 128.5333 0.033333 scrambled-1280.jpg
5 8s 128.8 0.033333 scrambled-1296.jpg
5 8s 129.0667 0.033333 scrambled-504.jpg
5 8s 129.3333 0.033333 scrambled-932.jpg
5 8s 129.6 0.033333 scrambled-1064.jpg
5 8s 129.8667 0.033333 scrambled-884.jpg
5 8s 130.1333 0.033333 scrambled-840.jpg
5 8s 130.4 0.033333 scrambled-1394.jpg
5 8s 130.6667 0.033333 scrambled-1412.jpg
5 8s 130.9333 0.033333 scrambled-1140.jpg
5 8s 131.2 0.033333 scrambled-800.jpg
5 8s 131.4667 0.033333 scrambled-965.jpg
5 8s 131.7333 0.033333 scrambled-24.jpg
6 4s 144 0.033333 scrambled-756.jpg
6 4s 144.1333 0.033333 scrambled-659.jpg
6 4s 144.2667 0.033333 scrambled-338.jpg
6 4s 144.4 0.033333 scrambled-810.jpg
6 4s 144.5333 0.033333 scrambled-564.jpg
6 4s 144.6667 0.033333 scrambled-229.jpg
6 4s 144.8 0.033333 scrambled-920.jpg
6 4s 144.9333 0.033333 scrambled-822.jpg
6 4s 145.0667 0.033333 scrambled-1106.jpg
6 4s 145.2 0.033333 scrambled-1426.jpg
6 4s 145.3333 0.033333 scrambled-527.jpg
6 4s 145.4667 0.033333 scrambled-905.jpg
6 4s 145.6 0.033333 scrambled-511.jpg
6 4s 145.7333 0.033333 scrambled-46.jpg
6 4s 145.8667 0.033333 scrambled-532.jpg
6 4s 146 0.033333 scrambled-879.jpg
6 4s 146.1333 0.033333 scrambled-10.jpg
6 4s 146.2667 0.033333 scrambled-1387.jpg
6 4s 146.4 0.033333 scrambled-312.jpg
6 4s 146.5333 0.033333 scrambled-548.jpg
6 4s 146.6667 0.033333 scrambled-306.jpg
6 4s 146.8 0.033333 scrambled-677.jpg
6 4s 146.9333 0.033333 scrambled-851.jpg
6 4s 147.0667 0.033333 scrambled-277.jpg
6 4s 147.2 0.033333 scrambled-543.jpg
6 4s 147.3333 0.033333 scrambled-808.jpg
6 4s 147.4667 0.033333 scrambled-101.jpg
6 4s 147.6 0.033333 scrambled-1037.jpg
6 4s 147.7333 0.033333 scrambled-76.jpg
6 4s 147.8667 0.033333 scrambled-39.jpg
7 2s 160 0.033333 scrambled-1244.jpg
7 2s 160.0667 0.033333 scrambled-1237.jpg
7 2s 160.1333 0.033333 scrambled-397.jpg
7 2s 160.2 0.033333 scrambled-1323.jpg
7 2s 160.2667 0.033333 scrambled-59.jpg
