Exp3 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 2s 12 0.066667 scrambled-1173.jpg
1 2s 12.0667 0.066667 scrambled-62.jpg
1 2s 12.1333 0.066667 scrambled-1058.jpg
1 2s 12.2 0.066667 scrambled-1128.jpg
1 2s 12.2667 0.066667 scrambled-815.jpg
1 2s 12.3333 0.066667 scrambled-1417.jpg
1 2s 12.4 0.066667 scrambled-1225.jpg
1 2s 12.4667 0.066667 scrambled-492.jpg
1 2s 12.5333 0.066667 scrambled-493.jpg
1 2s 12.6 0.066667 scrambled-183.jpg
1 2s 12.6667 0.066667 scrambled-393.jpg
1 2s 12.7333 0.066667 scrambled-968.jpg
1 2s 12.8 0.066667 scrambled-965.jpg
1 2s 12.8667 0.066667 scrambled-1080.jpg
1 2s 12.9333 0.066667 scrambled-502.jpg
1 2s 13 0.066667 scrambled-1191.jpg
1 2s 13.0667 0.066667 scrambled-94.jpg
1 2s 13.1333 0.066667 scrambled-1326.jpg
1 2s 13.2 0.066667 scrambled-1270.jpg
1 2s 13.2667 0.066667 scrambled-163.jpg
1 2s 13.3333 0.066667 scrambled-283.jpg
1 2s 13.4 0.066667 scrambled-397.jpg
1 2s 13.4667 0.066667 scrambled-874.jpg
1 2s 13.5333 0.066667 scrambled-1336.jpg
1 2s 13.6 0.066667 scrambled-836.jpg
1 2s 13.6667 0.066667 scrambled-1094.jpg
1 2s 13.7333 0.066667 scrambled-1241.jpg
1 2s 13.8 0.066667 scrambled-756.jpg
1 2s 13.8667 0.066667 scrambled-232.jpg
1 2s 13.9333 0.066667 scrambled-793.jpg
2 8s 26 0.26667 scrambled-1261.jpg
2 8s 26.2667 0.26667 scrambled-625.jpg
2 8s 26.5333 0.26667 scrambled-1229.jpg
2 8s 26.8 0.26667 scrambled-770.jpg
2 8s 27.0667 0.26667 scrambled-1109.jpg
2 8s 27.3333 0.26667 scrambled-959.jpg
2 8s 27.6 0.26667 scrambled-1237.jpg
2 8s 27.8667 0.26667 scrambled-540.jpg
2 8s 28.1333 0.26667 scrambled-638.jpg
2 8s 28.4 0.26667 scrambled-343.jpg
2 8s 28.6667 0.26667 scrambled-1101.jpg
2 8s 28.9333 0.26667 scrambled-1206.jpg
2 8s 29.2 0.26667 scrambled-941.jpg
2 8s 29.4667 0.26667 scrambled-19.jpg
2 8s 29.7333 0.26667 scrambled-962.jpg
2 8s 30 0.26667 scrambled-724.jpg
2 8s 30.2667 0.26667 scrambled-1415.jpg
2 8s 30.5333 0.26667 scrambled-1077.jpg
2 8s 30.8 0.26667 scrambled-1389.jpg
2 8s 31.0667 0.26667 scrambled-306.jpg
2 8s 31.3333 0.26667 scrambled-422.jpg
2 8s 31.6 0.26667 scrambled-409.jpg
2 8s 31.8667 0.26667 scrambled-595.jpg
2 8s 32.1333 0.26667 scrambled-1342.jpg
2 8s 32.4 0.26667 scrambled-1172.jpg
