Exp2 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 15s 25 0.033333 scrambled-533.jpg
1 15s 25.5 0.033333 scrambled-1135.jpg
1 15s 26 0.033333 scrambled-1239.jpg
1 15s 26.5 0.033333 scrambled-1177.jpg
1 15s 27 0.033333 scrambled-740.jpg
1 15s 27.5 0.033333 scrambled-727.jpg
1 15s 28 0.033333 scrambled-349.jpg
1 15s 28.5 0.033333 scrambled-840.jpg
1 15s 29 0.033333 scrambled-664.jpg
1 15s 29.5 0.033333 scrambled-783.jpg
1 15s 30 0.033333 scrambled-616.jpg
1 15s 30.5 0.033333 scrambled-1282.jpg
1 15s 31 0.033333 scrambled-1418.jpg
1 15s 31.5 0.033333 scrambled-1010.jpg
1 15s 32 0.033333 scrambled-1405.jpg
1 15s 32.5 0.033333 scrambled-1007.jpg
1 15s 33 0.033333 scrambled-1168.jpg
1 15s 33.5 0.033333 scrambled-425.jpg
1 15s 34 0.033333 scrambled-1232.jpg
1 15s 34.5 0.033333 scrambled-813.jpg
1 15s 35 0.033333 scrambled-1274.jpg
1 15s 35.5 0.033333 scrambled-375.jpg
1 15s 36 0.033333 scrambled-67.jpg
1 15s 36.5 0.033333 scrambled-362.jpg
1 15s 37 0.033333 scrambled-678.jpg
1 15s 37.5 0.033333 scrambled-983.jpg
1 15s 38 0.033333 scrambled-717.jpg
1 15s 38.5 0.033333 scrambled-1291.jpg
1 15s 39 0.033333 scrambled-1290.jpg
1 15s 39.5 0.033333 scrambled-1120.jpg
2 4s 52 0.033333 scrambled-842.jpg
2 4s 52.1333 0.033333 scrambled-456.jpg
2 4s 52.2667 0.033333 scrambled-663.jpg
2 4s 52.4 0.033333 scrambled-987.jpg
2 4s 52.5333 0.033333 scrambled-769.jpg
2 4s 52.6667 0.033333 scrambled-441.jpg
2 4s 52.8 0.033333 scrambled-1343.jpg
2 4s 52.9333 0.033333 scrambled-1160.jpg
