Exp2 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 8s 12 0.033333 scrambled-553.jpg
1 8s 12.2667 0.033333 scrambled-168.jpg
1 8s 12.5333 0.033333 scrambled-1290.jpg
1 8s 12.8 0.033333 scrambled-1122.jpg
1 8s 13.0667 0.033333 scrambled-499.jpg
1 8s 13.3333 0.033333 scrambled-979.jpg
1 8s 13.6 0.033333 scrambled-41.jpg
1 8s 13.8667 0.033333 scrambled-561.jpg
1 8s 14.1333 0.033333 scrambled-217.jpg
1 8s 14.4 0.033333 scrambled-260.jpg
1 8s 14.6667 0.033333 scrambled-29.jpg
1 8s 14.9333 0.033333 scrambled-667.jpg
1 8s 15.2 0.033333 scrambled-562.jpg
1 8s 15.4667 0.033333 scrambled-1322.jpg
1 8s 15.7333 0.033333 scrambled-838.jpg
1 8s 16 0.033333 scrambled-1415.jpg
1 8s 16.2667 0.033333 scrambled-713.jpg
1 8s 16.5333 0.033333 scrambled-312.jpg
1 8s 16.8 0.033333 scrambled-702.jpg
1 8s 17.0667 0.033333 scrambled-774.jpg
1 8s 17.3333 0.033333 scrambled-1284.jpg
1 8s 17.6 0.033333 scrambled-1060.jpg
1 8s 17.8667 0.033333 scrambled-412.jpg
1 8s 18.1333 0.033333 scrambled-602.jpg
1 8s 18.4 0.033333 scrambled-151.jpg
1 8s 18.6667 0.033333 scrambled-977.jpg
1 8s 18.9333 0.033333 scrambled-1095.jpg
1 8s 19.2 0.033333 scrambled-946.jpg
1 8s 19.4667 0.033333 scrambled-843.jpg
1 8s 19.7333 0.033333 scrambled-907.jpg
2 2s 32 0.033333 scrambled-313.jpg
2 2s 32.0667 0.033333 scrambled-358.jpg
2 2s 32.1333 0.033333 scrambled-352.jpg
2 2s 32.2 0.033333 scrambled-188.jpg
2 2s 32.2667 0.033333 scrambled-283.jpg
2 2s 32.3333 0.033333 scrambled-1197.jpg
2 2s 32.4 0.033333 scrambled-1381.jpg
2 2s 32.4667 0.033333 scrambled-521.jpg
2 2s 32.5333 0.033333 scrambled-5.jpg
2 2s 32.6 0.033333 scrambled-524.jpg
2 2s 32.6667 0.033333 scrambled-784.jpg
2 2s 32.7333 0.033333 scrambled-851.jpg
2 2s 32.8 0.033333 scrambled-330.jpg
2 2s 32.8667 0.033333 scrambled-331.jpg
2 2s 32.9333 0.033333 scrambled-180.jpg
2 2s 33 0.033333 scrambled-703.jpg
2 2s 33.0667 0.033333 scrambled-469.jpg
