Exp2 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 2s 12 0.033333 scrambled-510.jpg
1 2s 12.0667 0.033333 scrambled-905.jpg
1 2s 12.1333 0.033333 scrambled-1410.jpg
1 2s 12.2 0.033333 scrambled-118.jpg
1 2s 12.2667 0.033333 scrambled-53.jpg
1 2s 12.3333 0.033333 scrambled-1049.jpg
1 2s 12.4 0.033333 scrambled-372.jpg
1 2s 12.4667 0.033333 scrambled-1426.jpg
1 2s 12.5333 0.033333 scrambled-1050.jpg
1 2s 12.6 0.033333 scrambled-51.jpg
1 2s 12.6667 0.033333 scrambled-1296.jpg
1 2s 12.7333 0.033333 scrambled-1016.jpg
1 2s 12.8 0.033333 scrambled-563.jpg
1 2s 12.8667 0.033333 scrambled-75.jpg
1 2s 12.9333 0.033333 scrambled-377.jpg
1 2s 13 0.033333 scrambled-1116.jpg
1 2s 13.0667 0.033333 scrambled-369.jpg
1 2s 13.1333 0.033333 scrambled-141.jpg
1 2s 13.2 0.033333 scrambled-1109.jpg
1 2s 13.2667 0.033333 scrambled-179.jpg
1 2s 13.3333 0.033333 scrambled-1377.jpg
1 2s 13.4 0.033333 scrambled-1099.jpg
1 2s 13.4667 0.033333 scrambled-728.jpg
1 2s 13.5333 0.033333 scrambled-1235.jpg
1 2s 13.6 0.033333 scrambled-942.jpg
1 2s 13.6667 0.033333 scrambled-328.jpg
1 2s 13.7333 0.033333 scrambled-720.jpg
1 2s 13.8 0.033333 scrambled-1415.jpg
1 2s 13.8667 0.033333 scrambled-847.jpg
1 2s 13.9333 0.033333 scrambled-824.jpg
2 8s 26 0.033333 scrambled-1053.jpg
2 8s 26.2667 0.033333 scrambled-415.jpg
2 8s 26.5333 0.033333 scrambled-1180.jpg
2 8s 26.8 0.033333 scrambled-147.jpg
2 8s 27.0667 0.033333 scrambled-532.jpg
2 8s 27.3333 0.033333 scrambled-70.jpg
2 8s 27.6 0.033333 scrambled-1159.jpg
2 8s 27.8667 0.033333 scrambled-813.jpg
2 8s 28.1333 0.033333 scrambled-1214.jpg
2 8s 28.4 0.033333 scrambled-663.jpg
2 8s 28.6667 0.033333 scrambled-373.jpg
2 8s 28.9333 0.033333 scrambled-979.jpg
2 8s 29.2 0.033333 scrambled-1419.jpg
2 8s 29.4667 0.033333 scrambled-1134.jpg
2 8s 29.7333 0.033333 scrambled-815.jpg
2 8s 30 0.033333 scrambled-259.jpg
2 8s 30.2667 0.033333 scrambled-96.jpg
2 8s 30.5333 0.033333 scrambled-927.jpg
2 8s 30.8 0.033333 scrambled-1167.jpg
2 8s 31.0667 0.033333 scrambled-461.jpg
2 8s 31.3333 0.033333 scrambled-694.jpg
2 8s 31.6 0.033333 scrambled-1113.jpg
2 8s 31.8667 0.033333 scrambled-653.jpg
2 8s 32.1333 0.033333 scrambled-464.jpg
2 8s 32.4 0.033333 scrambled-799.jpg
2 8s 32.6667 0.033333 scrambled-1365.jpg
2 8s 32.9333 0.033333 scrambled-295.jpg
2 8s 33.2 0.033333 scrambled-1315.jpg
2 8s 33.4667 0.033333 scrambled-909.jpg
2 8s 33.7333 0.033333 scrambled-428.jpg
3 15s 46 0.033333 scrambled-959.jpg
3 15s 46.5 0.033333 scrambled-553.jpg
3 15s 47 0.033333 scrambled-822.jpg
