Exp2 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 30s 12 0.033333 scrambled-454.jpg
1 30s 13 0.033333 scrambled-84.jpg
1 30s 14 0.033333 scrambled-1120.jpg
1 30s 15 0.033333 scrambled-354.jpg
1 30s 16 0.033333 scrambled-1199.jpg
1 30s 17 0.033333 scrambled-258.jpg
1 30s 18 0.033333 scrambled-1129.jpg
1 30s 19 0.033333 scrambled-583.jpg
1 30s 20 0.033333 scrambled-7.jpg
1 30s 21 0.033333 scrambled-403.jpg
1 30s 22 0.033333 scrambled-208.jpg
1 30s 23 0.033333 scrambled-690.jpg
1 30s 24 0.033333 scrambled-1328.jpg
1 30s 25 0.033333 scrambled-516.jpg
1 30s 26 0.033333 scrambled-753.jpg
1 30s 27 0.033333 scrambled-95.jpg
1 30s 28 0.033333 scrambled-974.jpg
1 30s 29 0.033333 scrambled-887.jpg
1 30s 30 0.033333 scrambled-1279.jpg
1 30s 31 0.033333 scrambled-1033.jpg
1 30s 32 0.033333 scrambled-590.jpg
1 30s 33 0.033333 scrambled-1079.jpg
1 30s 34 0.033333 scrambled-455.jpg
1 30s 35 0.033333 scrambled-1021.jpg
1 30s 36 0.033333 scrambled-727.jpg
1 30s 37 0.033333 scrambled-750.jpg
1 30s 38 0.033333 scrambled-992.jpg
1 30s 39 0.033333 scrambled-392.jpg
1 30s 40 0.033333 scrambled-1109.jpg
1 30s 41 0.033333 scrambled-909.jpg
2 2s 67 0.033333 scrambled-883.jpg
2 2s 67.0667 0.033333 scrambled-226.jpg
2 2s 67.1333 0.033333 scrambled-528.jpg
2 2s 67.2 0.033333 scrambled-944.jpg
2 2s 67.2667 0.033333 scrambled-652.jpg
2 2s 67.3333 0.033333 scrambled-293.jpg
2 2s 67.4 0.033333 scrambled-411.jpg
2 2s 67.4667 0.033333 scrambled-234.jpg
2 2s 67.5333 0.033333 scrambled-195.jpg
2 2s 67.6 0.033333 scrambled-1136.jpg
2 2s 67.6667 0.033333 scrambled-962.jpg
2 2s 67.7333 0.033333 scrambled-334.jpg
2 2s 67.8 0.033333 scrambled-936.jpg
2 2s 67.8667 0.033333 scrambled-549.jpg
2 2s 67.9333 0.033333 scrambled-563.jpg
2 2s 68 0.033333 scrambled-768.jpg
2 2s 68.0667 0.033333 scrambled-1198.jpg
2 2s 68.1333 0.033333 scrambled-853.jpg
2 2s 68.2 0.033333 scrambled-645.jpg
2 2s 68.2667 0.033333 scrambled-339.jpg
2 2s 68.3333 0.033333 scrambled-179.jpg
2 2s 68.4 0.033333 scrambled-701.jpg
2 2s 68.4667 0.033333 scrambled-626.jpg
2 2s 68.5333 0.033333 scrambled-737.jpg
2 2s 68.6 0.033333 scrambled-251.jpg
2 2s 68.6667 0.033333 scrambled-874.jpg
2 2s 68.7333 0.033333 scrambled-1209.jpg
2 2s 68.8 0.033333 scrambled-591.jpg
2 2s 68.8667 0.033333 scrambled-1375.jpg
2 2s 68.9333 0.033333 scrambled-741.jpg
3 15s 81 0.033333 scrambled-668.jpg
3 15s 81.5 0.033333 scrambled-30.jpg
3 15s 82 0.033333 scrambled-1169.jpg
3 15s 82.5 0.033333 scrambled-995.jpg
3 15s 83 0.033333 scrambled-1001.jpg
3 15s 83.5 0.033333 scrambled-315.jpg
3 15s 84 0.033333 scrambled-1436.jpg
3 15s 84.5 0.033333 scrambled-52.jpg
3 15s 85 0.033333 scrambled-482.jpg
3 15s 85.5 0.033333 scrambled-961.jpg
3 15s 86 0.033333 scrambled-643.jpg
3 15s 86.5 0.033333 scrambled-996.jpg
3 15s 87 0.033333 scrambled-518.jpg
3 15s 87.5 0.033333 scrambled-865.jpg
3 15s 88 0.033333 scrambled-1118.jpg
3 15s 88.5 0.033333 scrambled-1384.jpg
3 15s 89 0.033333 scrambled-381.jpg
3 15s 89.5 0.033333 scrambled-984.jpg
3 15s 90 0.033333 scrambled-1141.jpg
3 15s 90.5 0.033333 scrambled-1433.jpg
3 15s 91 0.033333 scrambled-129.jpg
3 15s 91.5 0.033333 scrambled-74.jpg
3 15s 92 0.033333 scrambled-277.jpg
3 15s 92.5 0.033333 scrambled-161.jpg
3 15s 93 0.033333 scrambled-425.jpg
3 15s 93.5 0.033333 scrambled-434.jpg
3 15s 94 0.033333 scrambled-274.jpg
3 15s 94.5 0.033333 scrambled-728.jpg
3 15s 95 0.033333 scrambled-580.jpg
3 15s 95.5 0.033333 scrambled-374.jpg
4 4s 108 0.033333 scrambled-13.jpg
4 4s 108.1333 0.033333 scrambled-442.jpg
4 4s 108.2667 0.033333 scrambled-511.jpg
4 4s 108.4 0.033333 scrambled-352.jpg
4 4s 108.5333 0.033333 scrambled-44.jpg
4 4s 108.6667 0.033333 scrambled-199.jpg
4 4s 108.8 0.033333 scrambled-1025.jpg
4 4s 108.9333 0.033333 scrambled-638.jpg
4 4s 109.0667 0.033333 scrambled-269.jpg
4 4s 109.2 0.033333 scrambled-1036.jpg
4 4s 109.3333 0.033333 scrambled-867.jpg
4 4s 109.4667 0.033333 scrambled-775.jpg
4 4s 109.6 0.033333 scrambled-1094.jpg
4 4s 109.7333 0.033333 scrambled-450.jpg
4 4s 109.8667 0.033333 scrambled-1068.jpg
4 4s 110 0.033333 scrambled-1308.jpg
4 4s 110.1333 0.033333 scrambled-342.jpg
4 4s 110.2667 0.033333 scrambled-96.jpg
4 4s 110.4 0.033333 scrambled-148.jpg
4 4s 110.5333 0.033333 scrambled-914.jpg
4 4s 110.6667 0.033333 scrambled-1096.jpg
4 4s 110.8 0.033333 scrambled-613.jpg
4 4s 110.9333 0.033333 scrambled-265.jpg
4 4s 111.0667 0.033333 scrambled-697.jpg
4 4s 111.2 0.033333 scrambled-577.jpg
4 4s 111.3333 0.033333 scrambled-1414.jpg
4 4s 111.4667 0.033333 scrambled-839.jpg
4 4s 111.6 0.033333 scrambled-842.jpg
4 4s 111.7333 0.033333 scrambled-925.jpg
4 4s 111.8667 0.033333 scrambled-722.jpg
5 8s 124 0.033333 scrambled-856.jpg
5 8s 124.2667 0.033333 scrambled-1229.jpg
5 8s 124.5333 0.033333 scrambled-1196.jpg
5 8s 124.8 0.033333 scrambled-1066.jpg
5 8s 125.0667 0.033333 scrambled-964.jpg
5 8s 125.3333 0.033333 scrambled-1249.jpg
5 8s 125.6 0.033333 scrambled-1110.jpg
5 8s 125.8667 0.033333 scrambled-33.jpg
5 8s 126.1333 0.033333 scrambled-151.jpg
5 8s 126.4 0.033333 scrambled-871.jpg
5 8s 126.6667 0.033333 scrambled-1275.jpg
5 8s 126.9333 0.033333 scrambled-1322.jpg
5 8s 127.2 0.033333 scrambled-861.jpg
5 8s 127.4667 0.033333 scrambled-1244.jpg
5 8s 127.7333 0.033333 scrambled-29.jpg
5 8s 128 0.033333 scrambled-307.jpg
5 8s 128.2667 0.033333 scrambled-1242.jpg
5 8s 128.5333 0.033333 scrambled-954.jpg
5 8s 128.8 0.033333 scrambled-337.jpg
5 8s 129.0667 0.033333 scrambled-1321.jpg
5 8s 129.3333 0.033333 scrambled-71.jpg
5 8s 129.6 0.033333 scrambled-523.jpg
5 8s 129.8667 0.033333 scrambled-439.jpg
5 8s 130.1333 0.033333 scrambled-164.jpg
5 8s 130.4 0.033333 scrambled-444.jpg
5 8s 130.6667 0.033333 scrambled-231.jpg
5 8s 130.9333 0.033333 scrambled-1323.jpg
5 8s 131.2 0.033333 scrambled-1289.jpg
5 8s 131.4667 0.033333 scrambled-975.jpg
5 8s 131.7333 0.033333 scrambled-54.jpg
6 4s 144 0.033333 scrambled-465.jpg
6 4s 144.1333 0.033333 scrambled-201.jpg
6 4s 144.2667 0.033333 scrambled-192.jpg
6 4s 144.4 0.033333 scrambled-1159.jpg
6 4s 144.5333 0.033333 scrambled-1006.jpg
6 4s 144.6667 0.033333 scrambled-32.jpg
6 4s 144.8 0.033333 scrambled-14.jpg
6 4s 144.9333 0.033333 scrambled-1191.jpg
6 4s 145.0667 0.033333 scrambled-1424.jpg
6 4s 145.2 0.033333 scrambled-413.jpg
6 4s 145.3333 0.033333 scrambled-138.jpg
6 4s 145.4667 0.033333 scrambled-1187.jpg
6 4s 145.6 0.033333 scrambled-26.jpg
6 4s 145.7333 0.033333 scrambled-1082.jpg
6 4s 145.8667 0.033333 scrambled-470.jpg
6 4s 146 0.033333 scrambled-845.jpg
6 4s 146.1333 0.033333 scrambled-725.jpg
6 4s 146.2667 0.033333 scrambled-1091.jpg
6 4s 146.4 0.033333 scrambled-140.jpg
6 4s 146.5333 0.033333 scrambled-1163.jpg
6 4s 146.6667 0.033333 scrambled-672.jpg
6 4s 146.8 0.033333 scrambled-98.jpg
6 4s 146.9333 0.033333 scrambled-1305.jpg
6 4s 147.0667 0.033333 scrambled-674.jpg
6 4s 147.2 0.033333 scrambled-55.jpg
6 4s 147.3333 0.033333 scrambled-89.jpg
6 4s 147.4667 0.033333 scrambled-721.jpg
6 4s 147.6 0.033333 scrambled-384.jpg
6 4s 147.7333 0.033333 scrambled-459.jpg
6 4s 147.8667 0.033333 scrambled-740.jpg
7 2s 160 0.033333 scrambled-908.jpg
7 2s 160.0667 0.033333 scrambled-604.jpg
7 2s 160.1333 0.033333 scrambled-788.jpg
7 2s 160.2 0.033333 scrambled-783.jpg
7 2s 160.2667 0.033333 scrambled-301.jpg
7 2s 160.3333 0.033333 scrambled-123.jpg
7 2s 160.4 0.033333 scrambled-369.jpg
7 2s 160.4667 0.033333 scrambled-1179.jpg
7 2s 160.5333 0.033333 scrambled-427.jpg
7 2s 160.6 0.033333 scrambled-113.jpg
7 2s 160.6667 0.033333 scrambled-1180.jpg
7 2s 160.7333 0.033333 scrambled-242.jpg
7 2s 160.8 0.033333 scrambled-255.jpg
7 2s 160.8667 0.033333 scrambled-81.jpg
